RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;5335456;
Nederland;L528;AantalOngeldigeStemmen;;0;
Nederland;L528;Kiesgerechtigden;;5781140;
Nederland;L528;Opkomst;;5335456;
Nederland;L528;;PvdA;1545844;30
Nederland;L528;;KVP;1529434;30
Nederland;L528;;ARP;603170;12
Nederland;L528;;CHU;476188;9
Nederland;L528;;VVD;471038;9
Nederland;L528;;CPN;328612;6
Nederland;L528;;Katholieke Nationale Partij;144519;2
Nederland;L528;;SGP;129073;2
Nederland;L528;;GPV;35494;
Nederland;L528;;Middenstands Partij;25127;
Nederland;L528;;Partij voor Recht, Vrijheid en Welvaart;18989;
Nederland;L528;;Socialistische Unie;18010;
Nederland;L528;;Jong Conservatief Verbond;9959;
